no_of_adults,no_of_children,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Stay,booking_status_Not_Canceled,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,0,1,224,2017,10,2,0,0,0,65.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,5,2018,11,6,0,0,0,106.68,1,5,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,1,2018,2,28,0,0,0,60.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,211,2018,5,20,0,0,0,100.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,48,2018,4,11,0,0,0,94.5,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,346,2018,9,13,0,0,0,115.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,34,2017,10,15,0,0,0,107.55,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,83,2018,12,26,0,0,0,105.61,1,4,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,1,121,2018,7,6,0,0,0,96.9,1,4,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,44,2018,10,18,0,0,0,133.44,3,5,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,0,2018,9,11,0,0,0,85.03,0,1,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,4,35,2018,4,30,0,0,0,140.4,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,30,2018,11,26,0,0,0,88.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,95,2018,11,20,0,0,0,90.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,47,2017,10,20,0,0,0,94.5,2,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,256,2018,6,15,0,0,0,115.0,1,2,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,0,2017,10,5,0,0,0,96.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,1,2017,8,10,0,0,0,96.0,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,99,2017,10,30,0,0,0,65.0,0,4,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,12,2017,10,4,0,0,0,72.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,99,2017,10,30,0,0,0,65.0,0,4,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,122,2018,11,25,0,0,0,67.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0
2,0,0,1,2,2018,3,20,0,0,0,85.0,0,6,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,37,2018,10,13,0,0,0,105.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,130,2018,5,22,0,0,0,94.5,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,99,2018,4,28,0,0,0,114.3,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,60,2017,9,21,0,0,0,65.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,4,2,2018,5,19,0,0,0,110.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0
1,0,0,1,37,2017,11,6,0,0,0,37.33,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,56,2017,9,17,0,0,0,82.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4,3,2017,9,19,0,0,0,177.5,1,2,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,107,2018,11,13,0,0,0,87.5,1,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,2,2018,1,9,0,0,0,69.5,1,1,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,72,2018,10,7,0,0,0,85.5,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,1,1,23,2018,4,27,0,0,0,115.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,34,2018,6,19,0,0,0,81.0,0,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,289,2017,10,17,0,0,0,67.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,247,2018,11,19,0,0,0,63.75,0,5,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,186,2018,7,30,0,0,0,121.8,1,3,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,64,2018,11,1,0,0,0,93.6,2,4,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,35,2018,6,21,0,0,0,102.0,1,2,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,1,96,2018,4,10,0,0,0,121.8,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,41,2018,6,27,0,0,0,98.1,1,2,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,55,2017,11,18,0,0,0,60.0,1,4,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,146,2017,12,29,0,0,0,75.0,0,3,1.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,32,2017,11,20,0,0,0,73.0,0,2,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,55,2018,4,6,0,0,0,104.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,1,57,2018,11,1,0,0,0,79.2,1,4,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,4,7,2018,12,29,0,0,0,125.8,2,4,1.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,124,2018,5,30,0,0,0,87.95,0,7,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,169,2018,4,22,0,0,0,106.0,0,4,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,1,6,2018,5,16,0,0,0,136.67,1,3,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,4,51,2017,11,11,0,0,0,60.0,1,4,1.0,0.0,0.0,0.0,1.0,0.0
